year,mo,source_dataset,extent,area
1979,1,    NSIDC-0051,15.41,12.41
1980,1,    NSIDC-0051,14.86,11.94
1981,1,    NSIDC-0051,14.91,11.91
1982,1,    NSIDC-0051,15.18,12.19
1983,1,    NSIDC-0051,14.94,12.01
1984,1,    NSIDC-0051,14.47,11.68
1985,1,    NSIDC-0051,14.72,11.69
1986,1,    NSIDC-0051,14.89,11.88
1987,1,    NSIDC-0051,14.97,11.9
1989,1,    NSIDC-0051,14.95,13.18
1990,1,    NSIDC-0051,14.78,12.8
1991,1,    NSIDC-0051,14.36,12.57
1992,1,    NSIDC-0051,14.64,12.61
1993,1,    NSIDC-0051,14.9,12.93
1994,1,    NSIDC-0051,14.73,12.88
1995,1,    NSIDC-0051,14.59,12.79
1996,1,    NSIDC-0051,14.18,12.15
1997,1,    NSIDC-0051,14.42,12.39
1998,1,    NSIDC-0051,14.72,12.81
1999,1,    NSIDC-0051,14.36,12.6
2000,1,    NSIDC-0051,14.22,12.3
2001,1,    NSIDC-0051,14.2,12.35
2002,1,    NSIDC-0051,14.27,12.26
2003,1,    NSIDC-0051,14.39,12.29
2004,1,    NSIDC-0051,14.03,12.26
2005,1,    NSIDC-0051,13.66,11.92
2006,1,    NSIDC-0051,13.47,11.65
2007,1,    NSIDC-0051,13.7,11.86
2008,1,    NSIDC-0051,13.89,12.3
2009,1,    NSIDC-0051,13.91,12.32
2010,1,    NSIDC-0051,13.74,12.04
2011,1,    NSIDC-0051,13.46,11.83
2012,1,    NSIDC-0051,13.73,12.21
2013,1,    NSIDC-0051,13.7,12.02
2014,1,    NSIDC-0051,13.65,12.1
2015,1,    NSIDC-0051,13.6,12.17
2016,1,    NSIDC-0051,13.46,11.8
2017,1,    NSIDC-0051,13.19,11.37
2018,1,    NSIDC-0051,13.08,11.7
2019,1,    NSIDC-0051,13.57,12.14
2020,1,    NSIDC-0051,13.64,12.15
2021,1,    NSIDC-0051,13.5,11.75
2022,1,    NSIDC-0051,13.87,12.26
2023,1,    NSIDC-0051,13.36,11.88
2024,1,    NSIDC-0051,13.92,12.24
2025,1,    NSIDC-0803,13.11,11.49
2026,1,    NSIDC-0803,13.11,11.39
1979,2,    NSIDC-0051,16.18,13.18
1980,2,    NSIDC-0051,15.96,12.9
1981,2,    NSIDC-0051,15.6,12.53
1982,2,    NSIDC-0051,15.97,12.87
1983,2,    NSIDC-0051,16.01,12.94
1984,2,    NSIDC-0051,15.3,12.26
1985,2,    NSIDC-0051,15.47,12.48
1986,2,    NSIDC-0051,15.78,12.62
1987,2,    NSIDC-0051,16.05,13.02
1988,2,    NSIDC-0051,15.58,13.57
1989,2,    NSIDC-0051,15.5,13.36
1990,2,    NSIDC-0051,15.58,13.42
1991,2,    NSIDC-0051,15.25,13.22
1992,2,    NSIDC-0051,15.46,13.58
1993,2,    NSIDC-0051,15.69,13.61
1994,2,    NSIDC-0051,15.56,13.52
1995,2,    NSIDC-0051,15.23,13.37
1996,2,    NSIDC-0051,15.15,12.98
1997,2,    NSIDC-0051,15.44,13.44
1998,2,    NSIDC-0051,15.75,13.77
1999,2,    NSIDC-0051,15.31,13.45
2000,2,    NSIDC-0051,15.14,13.09
2001,2,    NSIDC-0051,15.21,13.22
2002,2,    NSIDC-0051,15.34,13.42
2003,2,    NSIDC-0051,15.19,13.23
2004,2,    NSIDC-0051,14.91,12.94
2005,2,    NSIDC-0051,14.37,12.35
2006,2,    NSIDC-0051,14.32,12.35
2007,2,    NSIDC-0051,14.51,12.58
2008,2,    NSIDC-0051,14.95,13.21
2009,2,    NSIDC-0051,14.81,13.21
2010,2,    NSIDC-0051,14.58,12.96
2011,2,    NSIDC-0051,14.36,12.76
2012,2,    NSIDC-0051,14.55,12.72
2013,2,    NSIDC-0051,14.72,13.2
2014,2,    NSIDC-0051,14.42,12.56
2015,2,    NSIDC-0051,14.4,12.85
2016,2,    NSIDC-0051,14.2,12.43
2017,2,    NSIDC-0051,14.12,12.32
2018,2,    NSIDC-0051,13.97,12.31
2019,2,    NSIDC-0051,14.39,12.76
2020,2,    NSIDC-0051,14.64,12.95
2021,2,    NSIDC-0051,14.39,12.76
2022,2,    NSIDC-0051,14.61,12.9
2023,2,    NSIDC-0051,14.19,12.61
2024,2,    NSIDC-0051,14.61,12.76
